name,eventsAmount,eventsTotalScore,topsAmount,score,attendanceBoost,adjustedScore,confidenceRating,highScore,lastEventDate
Rugar,3,793.7500100380493,0,1418.4742240041805,0,1134.7793792033444,74.29764039266898,1606.1416908935444,1684123200
Leaf,1,373.99434926565664,1,1789.9355918974939,0,1431.9484735179951,69.95366753162536,1835.2968868295281,1682229540
D*rage,7,2715.8600358857893,0,1354.390533738869,0.2,1354.390533738869,46.83316213796427,1434.3992025500677,1684735140
armando nc,1,380.0,0,1192.8728301112599,0,954.298264089008,144.63083493278774,1252.7967479852907,1680414600
Germen,10,3431.928888628927,0,1271.0525587221337,0.2,1271.0525587221337,54.877312198353756,1310.1686289256222,1684735140
JCX,1,380.0,0,1197.3847502159329,0,957.9078001727463,149.78865149221474,1252.7967479852907,1680414600
Chazz,8,2618.6973189916916,8,1717.3481628002742,0.2,1717.3481628002742,32.229480167177286,1731.9927388232418,1684735140
Chief Beef,3,681.6941735220837,3,1518.6706493965778,0,1214.9365195172622,76.09492749599491,1610.4875085454944,1681970340
CharlesPunk,7,1774.5361099790812,5,1607.5221934654294,0.13798574489780452,1507.8329020774236,41.35714897690769,1734.5933708519908,1684389540
Kiks,1,144.36054947020594,1,1210.727607422407,0,968.5820859379255,159.51044501771744,1239.6961500721893,1681365540
Sorensic,5,1733.4474747250333,0,1292.9101283228083,0.13131755642650278,1204.109901388674,62.20890235469208,1398.9693855141336,1684735140
SeptembeR,8,2645.4677523704354,3,1413.1373798831492,0.2,1413.1373798831492,44.572925969833044,1563.3044183786544,1684735140
Kamikrazy,1,144.36054947020594,0,1186.7966950261575,0,949.437356020926,174.09927595933513,1301.5620941263933,1681365540
Thoha,4,938.1105595082553,0,1061.2963850014985,0.0022439959137635634,851.4186527524342,104.29104992939791,1370.0913181739754,1684123200
Pineda,12,3788.961547170927,12,1844.3133302829717,0.2,1844.3133302829717,25.34582821638137,1844.3133302829717,1684735140
Living,7,2475.661866990536,2,1482.1806539268462,0.2,1482.1806539268462,47.019229273712696,1494.6916131965945,1684735140
Nuri.-.xD,6,1684.9152444421243,0,984.7637280805293,0.12344136252378185,909.3715588226829,95.7808361874294,1281.9539647792049,1684123200
OldCat,7,2357.6150558822956,0,984.5011529484183,0.2,984.5011529484183,91.43123676604846,1250.868373670388,1684735140
patho_pain,3,843.23365564854,0,1225.6487640172481,0,980.5190112137985,91.38020931690706,1335.396023367852,1682575140
AlanCb,1,287.1395756663998,0,1256.1743928070487,0,1004.939514245639,132.94922589248452,1308.8703309146665,1681624740
Demetrio,1,287.1395756663998,0,1224.4735542729627,0,979.5788434183702,138.28296724668826,1243.8007277276145,1681624740
Mixman,1,278.3053398098047,1,1464.983109974206,0,1171.9864879793647,88.56784485542609,1464.983109974206,1681710900
Jisus-o,0,0.0,0,1500,0,1200.0,350,0,1681710900
CCS1412six,0,0.0,0,1500,0,1200.0,350,0,1681710900
MarioCAMF,0,0.0,0,1500,0,1200.0,350,0,1681710900
Aquiles,1,250.19404838547788,0,1420.5902351482323,0,1136.4721881185858,152.95123472795757,1495.2284709323676,1681970340
ATCJ,1,250.19404838547788,0,1106.0924987285011,0,884.8739989828009,177.45432786001183,1172.8464907878113,1681970340
frijolito,6,2206.1215950977758,5,1714.4011832987596,0.2,1714.4011832987596,37.32967551393769,1741.3888939503809,1684735140
Piter!,3,1505.1644985668179,0,1533.3342626595384,0.09426999083078975,1371.2148170090813,67.52975230771227,1572.152837437569,1684735140
Aleaxes,2,651.783089437992,0,1432.3528603190418,0,1145.8822882552336,104.95189193212015,1507.040321919994,1682575140
Mr.Dachy Jr's,2,571.6602213823286,0,1299.6499718919406,0,1039.7199775135525,138.95098111078113,1500.0,1682834340
Croissant,1,373.99434926565664,0,1155.1440806814514,0,924.1152645451612,163.01864858317708,1285.9333098559625,1682229540
Swagandorf,1,277.7887401723354,0,1204.006102822032,0,963.2048822576257,158.07078247980536,1421.7148992573113,1682575140
